yearID,W,L,R,H,2B,3B,HR,name
2010,80,82,681,1363,276,19,155,Los Angeles Angels of Anaheim
2010,80,82,667,1368,270,29,120,Los Angeles Dodgers
2010,77,85,750,1471,293,33,182,Milwaukee Brewers
2010,94,68,781,1521,318,41,142,Minnesota Twins
2010,95,67,859,1485,275,32,201,New York Yankees
2010,79,83,656,1361,266,40,128,New York Mets
2010,81,81,663,1396,276,30,109,Oakland Athletics
2010,97,65,772,1451,290,34,166,Philadelphia Phillies
2010,57,105,587,1303,276,27,126,Pittsburgh Pirates
2010,90,72,665,1338,236,24,132,San Diego Padres
2010,61,101,513,1274,227,16,101,Seattle Mariners
2010,92,70,697,1411,284,30,162,San Francisco Giants
2010,86,76,736,1456,285,18,150,St. Louis Cardinals
2010,96,66,802,1343,295,37,160,Tampa Bay Rays
2010,90,72,787,1556,268,25,162,Texas Rangers
2010,85,77,755,1364,319,21,257,Toronto Blue Jays
2010,69,93,655,1355,250,31,149,Washington Nationals
2011,94,68,731,1357,293,37,172,Arizona Diamondbacks
2011,89,73,641,1345,244,16,173,Atlanta Braves
2011,69,93,708,1434,273,13,191,Baltimore Orioles
2011,90,72,875,1600,352,35,203,Boston Red Sox
2011,79,83,654,1387,252,16,154,Chicago White Sox
2011,71,91,654,1423,285,36,148,Chicago Cubs
2011,79,83,735,1438,264,19,183,Cincinnati Reds
2011,80,82,704,1380,290,26,154,Cleveland Indians
2011,73,89,735,1429,274,40,163,Colorado Rockies
2011,95,67,787,1540,297,34,169,Detroit Tigers
2011,72,90,625,1358,274,30,149,Florida Marlins
2011,56,106,615,1442,309,28,95,Houston Astros
2011,71,91,730,1560,325,41,129,Kansas City Royals
2011,86,76,667,1394,289,34,155,Los Angeles Angels of Anaheim
2011,82,79,644,1395,237,28,117,Los Angeles Dodgers
2011,96,66,721,1422,276,31,185,Milwaukee Brewers
2011,63,99,619,1357,259,25,103,Minnesota Twins
2011,97,65,867,1452,267,33,222,New York Yankees
2011,77,85,718,1477,309,39,108,New York Mets
2011,74,88,645,1330,280,29,114,Oakland Athletics
2011,102,60,713,1409,258,38,153,Philadelphia Phillies
2011,72,90,610,1325,277,35,107,Pittsburgh Pirates
